IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.127.73,2083,2083,true,HKG,Asia Pacific,Hong Kong,42,11.60
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,11.53
8.218.18.235,80,80,false,HKG,Asia Pacific,Hong Kong,37,11.53
8.217.239.116,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,11.51
47.243.206.150,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,11.43
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,11.35
8.218.52.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,34,11.23
8.218.18.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,11.23
8.210.3.24,2082,2082,false,HKG,Asia Pacific,Hong Kong,50,11.16
47.242.157.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,11.11
8.210.174.156,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,11.10
8.210.101.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,33,11.10
8.210.3.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,37,11.03
8.210.207.214,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,10.98
8.210.146.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,10.80
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,10.79
8.218.3.12,2083,2083,true,HKG,Asia Pacific,Hong Kong,38,10.75
8.210.55.134,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,10.75
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,10.66
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,10.65
8.218.211.17,2086,2086,false,HKG,Asia Pacific,Hong Kong,34,10.64
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,32,10.63
8.218.98.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,35,10.60
8.210.89.245,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,10.60
8.217.159.210,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,10.55
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,10.44
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,10.36
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,10.33
47.243.86.79,2095,2095,false,HKG,Asia Pacific,Hong Kong,43,10.25
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,33,10.23
47.76.225.255,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,10.14
47.242.79.71,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,10.03
8.217.49.34,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,9.98
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,35,9.95
47.243.42.219,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,9.91
47.243.91.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,9.87
47.242.202.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,9.79
8.210.48.107,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,9.77
47.242.202.230,443,443,true,HKG,Asia Pacific,Hong Kong,34,9.73
8.218.18.235,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,9.61
8.218.143.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,50,9.60
8.218.85.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,36,9.60
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,9.55
47.243.203.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,9.50
8.217.232.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,9.49
47.243.60.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,34,9.43
8.210.66.190,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,9.41
8.218.142.253,8443,8443,true,HKG,Asia Pacific,Hong Kong,43,9.41
47.243.183.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,9.40
47.243.139.243,80,80,false,HKG,Asia Pacific,Hong Kong,42,9.39
47.76.203.101,8443,8443,true,HKG,Asia Pacific,Hong Kong,31,9.36
8.218.53.110,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,9.33
47.243.60.150,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,9.25
47.76.204.76,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,9.22
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,9.18
8.218.142.253,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,9.16
47.76.178.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,42,9.16
8.210.119.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,9.12
8.217.121.207,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,9.09
47.243.91.58,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,9.04
8.218.174.118,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,9.02
47.243.90.180,2082,2082,false,HKG,Asia Pacific,Hong Kong,42,9.00
8.217.221.165,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,8.98
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,8.96
8.210.66.190,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,8.95
8.210.119.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,8.95
8.210.39.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,43,8.90
8.210.119.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,8.86
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,35,8.84
8.210.207.214,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,8.79
8.218.155.238,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,8.78
8.217.250.222,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,8.77
8.210.85.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,8.75
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,32,8.72
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,35,8.70
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,39,8.67
8.218.211.17,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,8.66
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,8.58
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,35,8.55
8.217.121.207,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,8.52
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,8.52
47.242.125.241,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,8.51
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,8.47
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,49,8.46
47.242.119.104,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,8.45
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,41,8.43
47.76.222.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,8.36
47.243.74.220,2052,2052,false,HKG,Asia Pacific,Hong Kong,37,8.36
8.217.239.116,2082,2082,false,HKG,Asia Pacific,Hong Kong,38,8.31
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,8.26
8.218.181.189,80,80,false,HKG,Asia Pacific,Hong Kong,36,8.23
8.218.18.235,8080,8080,false,HKG,Asia Pacific,Hong Kong,33,8.23
8.210.9.129,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,8.21
8.210.245.224,80,80,false,HKG,Asia Pacific,Hong Kong,40,8.19
47.243.86.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,35,8.15
8.218.155.238,80,80,false,HKG,Asia Pacific,Hong Kong,40,8.12
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,43,8.07
8.217.248.220,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,8.04
8.217.91.121,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,8.01
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,8.00
8.210.65.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,34,7.98
8.218.65.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,7.97
8.218.126.53,2086,2086,false,HKG,Asia Pacific,Hong Kong,40,7.97
47.243.42.219,2082,2082,false,HKG,Asia Pacific,Hong Kong,36,7.97
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,7.92
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,7.89
8.217.251.62,2082,2082,false,HKG,Asia Pacific,Hong Kong,35,7.82
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,7.77
47.242.234.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,7.71
47.242.79.71,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,7.69
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,7.69
8.210.119.11,2083,2083,true,HKG,Asia Pacific,Hong Kong,44,7.68
47.243.169.63,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,7.68
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,7.66
8.210.55.134,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,7.62
8.210.85.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,7.60
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,35,7.59
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,38,7.59
